email_id,platform,subject,to,body
rentalcars_260265,Rentalcars,A reserva foi criada - 260265.,info@renticop.pt,"Caro(a) John Santos,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 260265
Data de levantamento: 2026-05-18 20:45 em Faro Airport
Data de devolução: 2026-05-21 17:00 em Santa Cruz Downtown
Viatura: Nissan Micra
Preço total: 479.8 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_813328,Rentalcars,A reserva foi criada - 813328.,info@renticop.pt,"Caro(a) Laura Silva,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 813328
Data de levantamento: 2025-08-28 16:30 em Funchal Airport
Data de devolução: 2025-09-08 20:30 em Porto Airport
Viatura: Hyundai i20
Preço total: 227.55 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_854639,Rentalcars,A reserva foi criada - 854639.,info@renticop.pt,"Caro(a) John Martins,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 854639
Data de levantamento: 2025-11-12 20:15 em Gaia Station
Data de devolução: 2025-11-21 16:00 em Porto Airport
Viatura: Toyota Yaris
Preço total: 223.93 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_665579,Rentalcars,A reserva foi criada - 665579.,info@renticop.pt,"Caro(a) Diana Oliveira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 665579
Data de levantamento: 2026-03-29 17:30 em Funchal Airport
Data de devolução: 2026-03-30 15:00 em Porto Airport
Viatura: Peugeot 208
Preço total: 282.83 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_182582,Rentalcars,A reserva foi criada - 182582.,info@renticop.pt,"Caro(a) Emily Pereira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 182582
Data de levantamento: 2025-08-13 15:00 em Lisbon Airport
Data de devolução: 2025-08-25 20:15 em Gaia Station
Viatura: Nissan Micra
Preço total: 763.86 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_653306,Rentalcars,A reserva foi criada - 653306.,info@renticop.pt,"Caro(a) Pedro Smith,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 653306
Data de levantamento: 2026-05-07 11:15 em Faro Airport
Data de devolução: 2026-05-14 19:30 em Gaia Station
Viatura: Seat Ibiza
Preço total: 417.91 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_226882,Rentalcars,A reserva foi criada - 226882.,info@renticop.pt,"Caro(a) Laura Fernandes,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 226882
Data de levantamento: 2025-11-04 09:30 em Santa Cruz Downtown
Data de devolução: 2025-11-08 08:15 em Lisbon Airport
Viatura: Volkswagen Golf
Preço total: 168.28 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_340062,Rentalcars,A reserva foi criada - 340062.,info@renticop.pt,"Caro(a) Inês Silva,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 340062
Data de levantamento: 2025-08-04 13:00 em Porto Airport
Data de devolução: 2025-08-05 16:15 em Gaia Station
Viatura: Nissan Micra
Preço total: 265.68 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_698782,Rentalcars,A reserva foi criada - 698782.,info@renticop.pt,"Caro(a) Pedro Martins,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 698782
Data de levantamento: 2026-04-22 11:45 em Lisbon Airport
Data de devolução: 2026-04-30 20:45 em Funchal Airport
Viatura: Ford Fiesta
Preço total: 568.11 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_531071,Rentalcars,A reserva foi criada - 531071.,info@renticop.pt,"Caro(a) Miguel Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 531071
Data de levantamento: 2026-02-25 19:00 em Funchal Airport
Data de devolução: 2026-03-11 18:00 em Faro Airport
Viatura: Seat Ibiza
Preço total: 664.4 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_300896,Rentalcars,A reserva foi criada - 300896.,info@renticop.pt,"Caro(a) Maria Garcia,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 300896
Data de levantamento: 2025-10-06 15:15 em Porto Airport
Data de devolução: 2025-10-15 14:15 em Faro Airport
Viatura: Toyota Yaris
Preço total: 714.65 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_947272,Rentalcars,A reserva foi criada - 947272.,info@renticop.pt,"Caro(a) Maria Fernandes,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 947272
Data de levantamento: 2026-04-08 08:00 em Lisbon Airport
Data de devolução: 2026-04-10 09:15 em Faro Airport
Viatura: Nissan Micra
Preço total: 447.32 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_161483,Rentalcars,A reserva foi criada - 161483.,info@renticop.pt,"Caro(a) Rui Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 161483
Data de levantamento: 2025-09-23 08:45 em Porto Airport
Data de devolução: 2025-09-30 12:45 em Faro Airport
Viatura: Nissan Micra
Preço total: 225.26 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_161324,Rentalcars,A reserva foi criada - 161324.,info@renticop.pt,"Caro(a) Ana Garcia,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 161324
Data de levantamento: 2026-04-23 16:00 em Funchal Airport
Data de devolução: 2026-05-05 19:30 em Santa Cruz Downtown
Viatura: Nissan Micra
Preço total: 461.94 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_265080,Rentalcars,A reserva foi criada - 265080.,info@renticop.pt,"Caro(a) Rui Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 265080
Data de levantamento: 2025-07-30 09:15 em Gaia Station
Data de devolução: 2025-08-08 09:00 em Lisbon Airport
Viatura: Hyundai i20
Preço total: 201.52 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_358175,Rentalcars,A reserva foi criada - 358175.,info@renticop.pt,"Caro(a) Joana Pereira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 358175
Data de levantamento: 2026-04-23 08:00 em Porto Airport
Data de devolução: 2026-05-03 14:30 em Lisbon Airport
Viatura: Seat Ibiza
Preço total: 282.31 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_804318,Rentalcars,A reserva foi criada - 804318.,info@renticop.pt,"Caro(a) Sara Oliveira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 804318
Data de levantamento: 2026-05-27 15:30 em Funchal Airport
Data de devolução: 2026-06-01 20:00 em Faro Airport
Viatura: Ford Fiesta
Preço total: 169.82 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_378082,Rentalcars,A reserva foi criada - 378082.,info@renticop.pt,"Caro(a) Emily Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 378082
Data de levantamento: 2025-09-06 09:15 em Lisbon Airport
Data de devolução: 2025-09-12 13:30 em Faro Airport
Viatura: Peugeot 208
Preço total: 535.94 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_654634,Rentalcars,A reserva foi criada - 654634.,info@renticop.pt,"Caro(a) Diana Coelho,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 654634
Data de levantamento: 2025-07-05 16:30 em Lisbon Airport
Data de devolução: 2025-07-16 18:00 em Porto Airport
Viatura: Ford Fiesta
Preço total: 725.0 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_262998,Rentalcars,A reserva foi criada - 262998.,info@renticop.pt,"Caro(a) Carlos Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 262998
Data de levantamento: 2025-11-17 17:15 em Lisbon Airport
Data de devolução: 2025-11-22 19:30 em Gaia Station
Viatura: Peugeot 208
Preço total: 463.68 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_196781,Rentalcars,A reserva foi criada - 196781.,info@renticop.pt,"Caro(a) Ana Silva,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 196781
Data de levantamento: 2026-05-21 12:00 em Lisbon Airport
Data de devolução: 2026-05-28 08:30 em Gaia Station
Viatura: Peugeot 208
Preço total: 229.88 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_839945,Rentalcars,A reserva foi criada - 839945.,info@renticop.pt,"Caro(a) David Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 839945
Data de levantamento: 2026-02-04 08:00 em Santa Cruz Downtown
Data de devolução: 2026-02-13 09:15 em Funchal Airport
Viatura: Seat Ibiza
Preço total: 516.11 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_233636,Rentalcars,A reserva foi criada - 233636.,info@renticop.pt,"Caro(a) Pedro Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 233636
Data de levantamento: 2025-07-22 13:00 em Gaia Station
Data de devolução: 2025-07-27 13:15 em Lisbon Airport
Viatura: Ford Fiesta
Preço total: 360.5 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_750810,Rentalcars,A reserva foi criada - 750810.,info@renticop.pt,"Caro(a) Laura Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 750810
Data de levantamento: 2025-09-18 10:15 em Lisbon Airport
Data de devolução: 2025-09-22 14:00 em Gaia Station
Viatura: Seat Ibiza
Preço total: 652.02 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_870763,Rentalcars,A reserva foi criada - 870763.,info@renticop.pt,"Caro(a) Sara Coelho,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 870763
Data de levantamento: 2025-11-05 10:00 em Faro Airport
Data de devolução: 2025-11-10 14:00 em Lisbon Airport
Viatura: Toyota Yaris
Preço total: 675.28 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_420015,Rentalcars,A reserva foi criada - 420015.,info@renticop.pt,"Caro(a) David Johnson,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 420015
Data de levantamento: 2025-10-25 08:15 em Porto Airport
Data de devolução: 2025-10-29 14:30 em Funchal Airport
Viatura: Peugeot 208
Preço total: 358.78 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_812526,Rentalcars,A reserva foi criada - 812526.,info@renticop.pt,"Caro(a) Laura Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 812526
Data de levantamento: 2026-04-01 08:00 em Santa Cruz Downtown
Data de devolução: 2026-04-07 12:15 em Porto Airport
Viatura: Volkswagen Golf
Preço total: 193.71 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_863934,Rentalcars,A reserva foi criada - 863934.,info@renticop.pt,"Caro(a) Sara Johnson,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 863934
Data de levantamento: 2025-12-08 17:00 em Porto Airport
Data de devolução: 2025-12-15 14:15 em Funchal Airport
Viatura: Hyundai i20
Preço total: 121.15 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_820221,Rentalcars,A reserva foi criada - 820221.,info@renticop.pt,"Caro(a) Joana Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 820221
Data de levantamento: 2026-06-09 13:45 em Santa Cruz Downtown
Data de devolução: 2026-06-13 09:30 em Porto Airport
Viatura: Ford Fiesta
Preço total: 609.43 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_424308,Rentalcars,A reserva foi criada - 424308.,info@renticop.pt,"Caro(a) Ana Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 424308
Data de levantamento: 2026-06-07 13:45 em Santa Cruz Downtown
Data de devolução: 2026-06-14 19:30 em Lisbon Airport
Viatura: Toyota Yaris
Preço total: 405.9 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_884475,Rentalcars,A reserva foi criada - 884475.,info@renticop.pt,"Caro(a) Sara Coelho,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 884475
Data de levantamento: 2025-09-28 17:30 em Porto Airport
Data de devolução: 2025-10-08 14:00 em Lisbon Airport
Viatura: Hyundai i20
Preço total: 654.32 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_437902,Rentalcars,A reserva foi criada - 437902.,info@renticop.pt,"Caro(a) Tiago Coelho,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 437902
Data de levantamento: 2026-02-24 15:15 em Gaia Station
Data de devolução: 2026-03-04 16:45 em Lisbon Airport
Viatura: Ford Fiesta
Preço total: 312.97 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_749342,Rentalcars,A reserva foi criada - 749342.,info@renticop.pt,"Caro(a) Inês Coelho,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 749342
Data de levantamento: 2025-12-19 20:15 em Lisbon Airport
Data de devolução: 2025-12-21 18:30 em Funchal Airport
Viatura: Volkswagen Golf
Preço total: 286.49 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_991014,Rentalcars,A reserva foi criada - 991014.,info@renticop.pt,"Caro(a) David Pereira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 991014
Data de levantamento: 2025-08-07 14:15 em Faro Airport
Data de devolução: 2025-08-15 19:45 em Lisbon Airport
Viatura: Renault Clio
Preço total: 566.12 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_916232,Rentalcars,A reserva foi criada - 916232.,info@renticop.pt,"Caro(a) John Santos,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 916232
Data de levantamento: 2026-02-03 10:45 em Funchal Airport
Data de devolução: 2026-02-07 08:15 em Faro Airport
Viatura: Renault Clio
Preço total: 664.96 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_686075,Rentalcars,A reserva foi criada - 686075.,info@renticop.pt,"Caro(a) Inês Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 686075
Data de levantamento: 2026-05-01 20:45 em Santa Cruz Downtown
Data de devolução: 2026-05-07 17:45 em Faro Airport
Viatura: Renault Clio
Preço total: 625.69 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_371782,Rentalcars,A reserva foi criada - 371782.,info@renticop.pt,"Caro(a) David Fernandes,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 371782
Data de levantamento: 2025-11-04 18:30 em Gaia Station
Data de devolução: 2025-11-18 20:45 em Lisbon Airport
Viatura: Peugeot 208
Preço total: 419.11 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_345884,Rentalcars,A reserva foi criada - 345884.,info@renticop.pt,"Caro(a) Carlos Smith,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 345884
Data de levantamento: 2025-11-17 13:00 em Lisbon Airport
Data de devolução: 2025-11-23 10:15 em Faro Airport
Viatura: Renault Clio
Preço total: 600.37 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_527398,Rentalcars,A reserva foi criada - 527398.,info@renticop.pt,"Caro(a) Maria Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 527398
Data de levantamento: 2025-12-17 15:45 em Faro Airport
Data de devolução: 2025-12-26 08:15 em Santa Cruz Downtown
Viatura: Volkswagen Golf
Preço total: 702.58 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_498858,Rentalcars,A reserva foi criada - 498858.,info@renticop.pt,"Caro(a) Diana Pereira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 498858
Data de levantamento: 2026-03-02 13:30 em Faro Airport
Data de devolução: 2026-03-03 20:45 em Santa Cruz Downtown
Viatura: Toyota Yaris
Preço total: 452.0 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_609232,Rentalcars,A reserva foi criada - 609232.,info@renticop.pt,"Caro(a) Ana Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 609232
Data de levantamento: 2025-07-15 13:45 em Faro Airport
Data de devolução: 2025-07-22 19:15 em Lisbon Airport
Viatura: Volkswagen Golf
Preço total: 736.71 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_795205,Rentalcars,A reserva foi criada - 795205.,info@renticop.pt,"Caro(a) Tiago Pereira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 795205
Data de levantamento: 2025-07-14 18:45 em Lisbon Airport
Data de devolução: 2025-07-16 10:45 em Funchal Airport
Viatura: Peugeot 208
Preço total: 377.79 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_442722,Rentalcars,A reserva foi criada - 442722.,info@renticop.pt,"Caro(a) Emily Fernandes,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 442722
Data de levantamento: 2025-12-20 14:30 em Porto Airport
Data de devolução: 2026-01-02 20:45 em Funchal Airport
Viatura: Nissan Micra
Preço total: 133.18 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_466960,Rentalcars,A reserva foi criada - 466960.,info@renticop.pt,"Caro(a) Laura Silva,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 466960
Data de levantamento: 2025-10-23 09:00 em Lisbon Airport
Data de devolução: 2025-11-03 20:00 em Funchal Airport
Viatura: Renault Clio
Preço total: 282.21 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_219946,Rentalcars,A reserva foi criada - 219946.,info@renticop.pt,"Caro(a) David Coelho,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 219946
Data de levantamento: 2026-04-15 15:30 em Lisbon Airport
Data de devolução: 2026-04-19 20:30 em Santa Cruz Downtown
Viatura: Ford Fiesta
Preço total: 648.9 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_213349,Rentalcars,A reserva foi criada - 213349.,info@renticop.pt,"Caro(a) Pedro Smith,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 213349
Data de levantamento: 2026-04-23 12:45 em Funchal Airport
Data de devolução: 2026-04-24 14:15 em Santa Cruz Downtown
Viatura: Toyota Yaris
Preço total: 189.29 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_991597,Rentalcars,A reserva foi criada - 991597.,info@renticop.pt,"Caro(a) Diana Smith,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 991597
Data de levantamento: 2026-06-16 20:00 em Porto Airport
Data de devolução: 2026-06-26 20:00 em Santa Cruz Downtown
Viatura: Hyundai i20
Preço total: 569.83 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_778998,Rentalcars,A reserva foi criada - 778998.,info@renticop.pt,"Caro(a) Maria Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 778998
Data de levantamento: 2025-12-22 14:45 em Porto Airport
Data de devolução: 2025-12-23 09:45 em Gaia Station
Viatura: Nissan Micra
Preço total: 600.97 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_869440,Rentalcars,A reserva foi criada - 869440.,info@renticop.pt,"Caro(a) Sara Oliveira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 869440
Data de levantamento: 2026-03-25 12:45 em Gaia Station
Data de devolução: 2026-04-05 15:45 em Santa Cruz Downtown
Viatura: Peugeot 208
Preço total: 339.17 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_392477,Rentalcars,A reserva foi criada - 392477.,info@renticop.pt,"Caro(a) Emily Santos,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 392477
Data de levantamento: 2026-02-16 20:45 em Porto Airport
Data de devolução: 2026-02-20 17:45 em Funchal Airport
Viatura: Nissan Micra
Preço total: 698.65 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_322423,Rentalcars,A reserva foi criada - 322423.,info@renticop.pt,"Caro(a) Pedro Fernandes,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 322423
Data de levantamento: 2025-12-29 12:30 em Santa Cruz Downtown
Data de devolução: 2026-01-11 12:30 em Funchal Airport
Viatura: Toyota Yaris
Preço total: 178.22 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_612311,Rentalcars,A reserva foi criada - 612311.,info@renticop.pt,"Caro(a) Carlos Marques,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 612311
Data de levantamento: 2026-04-11 11:45 em Faro Airport
Data de devolução: 2026-04-24 18:45 em Funchal Airport
Viatura: Ford Fiesta
Preço total: 320.08 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_355123,Rentalcars,A reserva foi criada - 355123.,info@renticop.pt,"Caro(a) Sara Martins,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 355123
Data de levantamento: 2025-12-04 17:30 em Faro Airport
Data de devolução: 2025-12-15 15:30 em Gaia Station
Viatura: Seat Ibiza
Preço total: 359.23 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_421517,Rentalcars,A reserva foi criada - 421517.,info@renticop.pt,"Caro(a) David Smith,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 421517
Data de levantamento: 2025-11-06 09:15 em Gaia Station
Data de devolução: 2025-11-10 13:00 em Santa Cruz Downtown
Viatura: Renault Clio
Preço total: 250.25 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_389930,Rentalcars,A reserva foi criada - 389930.,info@renticop.pt,"Caro(a) Carlos Fernandes,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 389930
Data de levantamento: 2026-04-28 16:30 em Porto Airport
Data de devolução: 2026-05-11 09:15 em Lisbon Airport
Viatura: Seat Ibiza
Preço total: 242.02 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_660081,Rentalcars,A reserva foi criada - 660081.,info@renticop.pt,"Caro(a) John Martins,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 660081
Data de levantamento: 2025-09-03 08:00 em Gaia Station
Data de devolução: 2025-09-08 16:30 em Lisbon Airport
Viatura: Nissan Micra
Preço total: 189.76 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_398151,Rentalcars,A reserva foi criada - 398151.,info@renticop.pt,"Caro(a) John Pereira,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 398151
Data de levantamento: 2026-02-26 15:30 em Porto Airport
Data de devolução: 2026-03-06 10:00 em Faro Airport
Viatura: Ford Fiesta
Preço total: 679.04 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_177680,Rentalcars,A reserva foi criada - 177680.,info@renticop.pt,"Caro(a) Sara Fernandes,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 177680
Data de levantamento: 2026-04-22 18:00 em Santa Cruz Downtown
Data de devolução: 2026-05-03 10:15 em Porto Airport
Viatura: Ford Fiesta
Preço total: 795.86 EUR

Cumprimentos,
Equipa Rentalcars
"
rentalcars_901577,Rentalcars,A reserva foi criada - 901577.,info@renticop.pt,"Caro(a) Maria Costa,

Obrigado por reservar com Rentalcars. Detalhes da reserva:
Número da reserva: 901577
Data de levantamento: 2026-01-30 17:15 em Faro Airport
Data de devolução: 2026-02-09 20:45 em Porto Airport
Viatura: Hyundai i20
Preço total: 327.66 EUR

Cumprimentos,
Equipa Rentalcars
"
